unit,symbol,source_path,size,fuzzy,gap,priority,db_statuses,run_target_rows,lease_count,worker_session_count,ever_leased_or_event
main/melee/ft/chara/ftCommon/ftCo_0A01,ftCo_800A2C80,src/melee/ft/chara/ftCommon/ftCo_0A01.c,1204,80.15282,19.84718,25.0256,queued:1,1,0,0,False
main/melee/gm/gm_18A5,fn_801949B4,src/melee/gm/gm_18A5.c,528,87.57576,12.42424,24.9776,queued:1,1,0,0,False
main/sysdolphin/baselib/hsd_3B2E,hsd_803B31CC,src/sysdolphin/baselib/hsd_3B2E.c,376,89.94681,10.05319,24.4566,no_db_target,0,0,0,False
main/melee/gr/grzebes,grZebes_801DB088,src/melee/gr/grzebes.c,836,83.27751,16.72249,24.0302,no_db_target,0,0,0,False
main/sysdolphin/baselib/particle,hsd_80394544,src/sysdolphin/baselib/particle.c,292,91.31507,8.68493,23.3500,no_db_target,0,0,0,False
main/sysdolphin/baselib/hsd_3B34,hsd_803B51C8,src/sysdolphin/baselib/hsd_3B34.c,2660,70.92632,29.07368,23.1452,no_db_target,0,0,0,False
main/melee/ft/chara/ftKirby/ftkirbyspecialn,fn_800F9260,src/melee/ft/chara/ftKirby/ftkirbyspecialn.c,364,89.70330,10.29670,22.8673,no_db_target,0,0,0,False
main/melee/mn/mninfo,fn_80251FE4,src/melee/mn/mninfo.c,724,84.13812,15.86188,22.8603,no_db_target,0,0,0,False
main/melee/gm/gm_18A5,fn_8018ECA8,src/melee/gm/gm_18A5.c,868,82.44240,17.55760,22.8249,queued:1,1,0,0,False
main/melee/gr/grkinokoroute,grKinokoRoute_80207B5C,src/melee/gr/grkinokoroute.c,292,91.15069,8.84931,22.7522,no_db_target,0,0,0,False
main/melee/gm/gm_1832,fn_80189B88,src/melee/gm/gm_1832.c,340,90.14117,9.85883,22.7461,queued:2,2,0,0,False
main/melee/gm/gmcamera,gmCamera_801A2334,src/melee/gm/gmcamera.c,520,86.73077,13.26923,22.1576,no_db_target,0,0,0,False
main/melee/mn/mnmainrule,mn_8022FD18,src/melee/mn/mnmainrule.c,432,88.20370,11.79630,22.1471,no_db_target,0,0,0,False
